symbol,updateTime,currentFvg_type,currentFvg_high,currentFvg_low,currentFvg_mid,currentFvg_openType,currentFvg_closeType,currentFvg_timestamp,currentFvg_time,upFvg_type,upFvg_high,upFvg_low,upFvg_mid,upFvg_openType,upFvg_closeType,upFvg_timestamp,upFvg_time,downFvg_type,downFvg_high,downFvg_low,downFvg_mid,downFvg_openType,downFvg_closeType,downFvg_timestamp,downFvg_time,currentPrice
GRASSUSDT,14/06/2025 12:27:40,up,1.6447,1.63,1.63735,up,down,1746835200000,10.05.2025 00:00,down,1.6338,1.5959,1.6148500000000001,down,down,1745884800000,29.04.2025 00:00,down,1.6464,1.634,1.6402,down,down,1745798400000,28.04.2025 00:00,1.6363
ATOMUSDT,14/06/2025 12:27:40,up,4.166,4.103,4.1345,up,up,1746576000000,07.05.2025 00:00,up,4.102,4.09,4.096,down,up,1746489600000,06.05.2025 00:00,up,4.144,4.116,4.13,up,down,1745020800000,19.04.2025 00:00,4.118
JUPUSDT,14/06/2025 12:27:40,up,0.4402,0.4041,0.42215,up,up,1745280000000,22.04.2025 00:00,up,0.4041,0.3963,0.4002,down,up,1745193600000,21.04.2025 00:00,down,0.4654,0.4253,0.44535,down,down,1749686400000,12.06.2025 00:00,0.4087
PAXGUSDT,14/06/2025 12:27:40,,,,,,,,,up,3408.15,3378.79,3393.4700000000003,up,up,1749686400000,12.06.2025 00:00,,,,,,,,,3455.03
XCNUSDT,14/06/2025 12:27:40,,,,,,,,,,,,,,,,,down,0.01448,0.01397,0.014225,down,down,1749686400000,12.06.2025 00:00,0.01332
ALCHUSDT,14/06/2025 12:27:40,up,0.13951,0.12665,0.13308,down,down,1748908800000,03.06.2025 00:00,up,0.13541,0.1091,0.122255,up,up,1744502400000,13.04.2025 00:00,down,0.13257,0.13029,0.13143,down,up,1749686400000,12.06.2025 00:00,0.12824
GRIFFAINUSDT,14/06/2025 12:27:40,up,0.04313,0.03164,0.037385,up,up,1745280000000,22.04.2025 00:00,down,0.04389,0.03899,0.04144,up,down,1743120000000,28.03.2025 00:00,up,0.04524,0.04489,0.045065,down,up,1742688000000,23.03.2025 00:00,0.04271
SKYAIUSDT,14/06/2025 12:27:40,,,,,,,,,,,,,,,,,down,0.03428,0.03273,0.033505,down,up,1749686400000,12.06.2025 00:00,0.03162
1000FLOKIUSDT,14/06/2025 12:27:40,up,0.09154,0.07648,0.08401,up,up,1746662400000,08.05.2025 00:00,down,0.07915,0.07691,0.07803,down,up,1746316800000,04.05.2025 00:00,up,0.08171,0.08169,0.0817,down,up,1749168000000,06.06.2025 00:00,0.07819
SANDUSDT,14/06/2025 12:27:40,up,0.26788,0.25995,0.263915,up,up,1745020800000,19.04.2025 00:00,up,0.26489,0.25819,0.26154,up,up,1731024000000,08.11.2024 00:00,down,0.27036,0.2618,0.26608,up,up,1743552000000,02.04.2025 00:00,0.26439
SEIUSDT,14/06/2025 12:27:40,up,0.1891,0.1758,0.18245,up,up,1745280000000,22.04.2025 00:00,up,0.1758,0.1738,0.1748,down,up,1745193600000,21.04.2025 00:00,up,0.1888,0.1841,0.18645,up,down,1749254400000,07.06.2025 00:00,0.1771
MKRUSDT,14/06/2025 12:27:40,down,2169.1,1888.1,2028.6,up,down,1733702400000,09.12.2024 00:00,up,2052.7,2045.1,2048.8999999999996,up,up,1708819200000,25.02.2024 00:00,up,2134.5,2033.9,2084.2,down,down,1724371200000,23.08.2024 00:00,2074.2
VINEUSDT,14/06/2025 12:27:40,up,0.03168,0.02957,0.030625,down,down,1745020800000,19.04.2025 00:00,down,0.03291,0.02968,0.031295,down,down,1744761600000,16.04.2025 00:00,down,0.03295,0.03098,0.031965,down,down,1743811200000,05.04.2025 00:00,0.03157
ZEREBROUSDT,14/06/2025 12:27:40,up,0.05168,0.02465,0.038165,up,up,1745280000000,22.04.2025 00:00,down,0.0255,0.0252,0.025349999999999998,down,down,1743724800000,04.04.2025 00:00,down,0.03066,0.02846,0.02956,down,up,1749686400000,12.06.2025 00:00,0.02796
