symbol,updateTime,currentFvg_type,currentFvg_high,currentFvg_low,currentFvg_mid,currentFvg_openType,currentFvg_closeType,currentFvg_timestamp,currentFvg_time,upFvg_type,upFvg_high,upFvg_low,upFvg_mid,upFvg_openType,upFvg_closeType,upFvg_timestamp,upFvg_time,downFvg_type,downFvg_high,downFvg_low,downFvg_mid,downFvg_openType,downFvg_closeType,downFvg_timestamp,downFvg_time,currentPrice
FILUSDT,18/06/2025 08:06:20,up,2.453,2.386,2.4195,down,up,1744934400000,18.04.2025 00:00,down,2.414,2.386,2.4000000000000004,down,down,1744761600000,16.04.2025 00:00,down,2.458,2.42,2.439,down,up,1749859200000,14.06.2025 00:00,2.401
ALPHAUSDT,18/06/2025 08:06:20,,,,,,,,,,,,,,,,,down,0.02179,0.02165,0.02172,up,down,1750032000000,16.06.2025 00:00,0.02091
TONUSDT,18/06/2025 08:06:20,up,2.9681,2.9422,2.95515,up,down,1744934400000,18.04.2025 00:00,up,2.9421,2.89,2.9160500000000003,up,up,1744848000000,17.04.2025 00:00,down,3.023,2.9726,2.9978,down,up,1749859200000,14.06.2025 00:00,2.95
1000FLOKIUSDT,18/06/2025 08:06:20,up,0.08021,0.07151,0.07586000000000001,up,down,1745539200000,25.04.2025 00:00,up,0.07151,0.06975,0.07063,up,up,1745452800000,24.04.2025 00:00,down,0.07739,0.07733,0.07736,up,down,1750032000000,16.06.2025 00:00,0.07466
SUSDT,18/06/2025 08:06:20,,,,,,,,,,,,,,,,,down,0.3601,0.3357,0.3479,down,up,1749772800000,13.06.2025 00:00,0.324
SANDUSDT,18/06/2025 08:06:20,up,0.25995,0.24789,0.25392000000000003,up,up,1744934400000,18.04.2025 00:00,up,0.26057,0.25827,0.25942,down,up,1744329600000,11.04.2025 00:00,up,0.26489,0.25819,0.26154,up,up,1731024000000,08.11.2024 00:00,0.25976
FXSUSDT,18/06/2025 08:06:20,up,2.4561,2.346,2.40105,up,up,1746748800000,09.05.2025 00:00,down,2.4275,2.3052,2.36635,down,down,1721692800000,23.07.2024 00:00,up,2.4122,2.392,2.4021,down,up,1732147200000,21.11.2024 00:00,2.3924
ARCUSDT,18/06/2025 08:06:20,,,,,,,,,,,,,,,,,down,0.03086,0.03042,0.03064,down,up,1749859200000,14.06.2025 00:00,0.02776
MKRUSDT,18/06/2025 08:06:21,up,2059.7,1943.5,2001.6,up,down,1749513600000,10.06.2025 00:00,up,2023.3,1958.2,1990.75,down,down,1724198400000,21.08.2024 00:00,down,2079.3,1964.1,2021.7,down,down,1724716800000,27.08.2024 00:00,2005.6
ZEREBROUSDT,18/06/2025 08:06:21,up,0.02922,0.02852,0.02887,up,up,1750032000000,16.06.2025 00:00,up,0.02853,0.02846,0.028495,down,up,1749945600000,15.06.2025 00:00,down,0.03066,0.02846,0.02956,down,up,1749686400000,12.06.2025 00:00,0.02877
PYTHUSDT,18/06/2025 08:06:21,,,,,,,,,,,,,,,,,down,0.10795,0.10617,0.10706,down,up,1749859200000,14.06.2025 00:00,0.10009
ALGOUSDT,18/06/2025 08:06:21,up,0.1765,0.1665,0.17149999999999999,down,down,1744156800000,09.04.2025 00:00,up,0.1856,0.1458,0.16570000000000001,up,up,1731628800000,15.11.2024 00:00,down,0.1748,0.1702,0.1725,down,up,1717804800000,08.06.2024 00:00,0.1715
PENGUUSDT,18/06/2025 08:06:21,up,0.009824,0.008628,0.009226,up,up,1745625600000,26.04.2025 00:00,up,0.008754,0.008337,0.008545500000000001,down,down,1740700800000,28.02.2025 00:00,up,0.009916,0.009391,0.009653499999999999,up,down,1749254400000,07.06.2025 00:00,0.009373
BTCUSDT,18/06/2025 08:06:21,up,105507.5,104240,104873.75,up,up,1749254400000,07.06.2025 00:00,down,105330.1,104641.8,104985.95000000001,down,down,1748995200000,04.06.2025 00:00,down,105609.4,105534.6,105572,up,up,1749859200000,14.06.2025 00:00,105130.8
ETHUSDT,18/06/2025 08:06:21,up,2679.13,2523.41,2601.27,down,up,1749427200000,09.06.2025 00:00,down,2592.16,2475.38,2533.77,up,up,1749081600000,05.06.2025 00:00,up,2550.03,2529.27,2539.65,up,up,1748131200000,25.05.2025 00:00,2536.01
SOLUSDT,18/06/2025 08:06:21,up,149.97,147.76,148.865,up,up,1749254400000,07.06.2025 00:00,down,147.91,147.76,147.83499999999998,down,down,1745798400000,28.04.2025 00:00,up,150.67,148.54,149.605,down,down,1749945600000,15.06.2025 00:00,148.28
XRPUSDT,18/06/2025 08:06:21,down,2.1889,2.1464,2.16765,down,down,1749772800000,13.06.2025 00:00,up,2.1644,2.1464,2.1554,down,up,1749945600000,15.06.2025 00:00,up,2.1756,2.159,2.1673,up,up,1749254400000,07.06.2025 00:00,2.1658
DOGEUSDT,18/06/2025 08:06:21,up,0.17193,0.1705,0.171215,up,down,1746489600000,06.05.2025 00:00,up,0.17858,0.15931,0.168945,up,down,1745280000000,22.04.2025 00:00,down,0.17543,0.1726,0.174015,down,down,1750032000000,16.06.2025 00:00,0.1713
1000PEPEUSDT,18/06/2025 08:06:21,up,0.0111209,0.0082465,0.0096837,up,up,1746662400000,08.05.2025 00:00,up,0.0103876,0.0098956,0.0101416,down,down,1728864000000,14.10.2024 00:00,up,0.0107748,0.009901,0.0103379,up,down,1730937600000,07.11.2024 00:00,0.0102722
MOODENGUSDT,18/06/2025 08:06:21,up,0.22213,0.13682,0.179475,up,up,1746921600000,11.05.2025 00:00,down,0.14545,0.14244,0.143945,down,down,1737590400000,23.01.2025 00:00,down,0.15558,0.15484,0.15521000000000001,down,down,1750032000000,16.06.2025 00:00,0.14939
SUIUSDT,18/06/2025 08:06:21,up,2.9635,2.6666,2.81505,up,up,1745366400000,23.04.2025 00:00,up,2.6313,2.6165,2.6239,down,up,1741132800000,05.03.2025 00:00,down,3.0736,3.0221,3.04785,down,up,1749859200000,14.06.2025 00:00,2.8685
NXPCUSDT,18/06/2025 08:06:21,,,,,,,,,,,,,,,,,down,1.23941,1.19392,1.2166649999999999,down,down,1750032000000,16.06.2025 00:00,1.1388
TRUMPUSDT,18/06/2025 08:06:21,up,12.201,9.222,10.711500000000001,up,down,1745366400000,23.04.2025 00:00,up,9.223,8.314,8.7685,up,up,1745280000000,22.04.2025 00:00,down,9.962,9.645,9.8035,down,down,1750032000000,16.06.2025 00:00,9.531
DYDXUSDT,18/06/2025 08:06:21,,,,,,,,,down,0.515,0.51,0.5125,up,down,1750032000000,16.06.2025 00:00,down,0.525,0.519,0.522,down,up,1749859200000,14.06.2025 00:00,0.517
NEIROUSDT,18/06/2025 08:06:21,up,0.0003869,0.0003426,0.00036475,up,up,1746835200000,10.05.2025 00:00,down,0.0003917,0.0003669,0.00037929999999999995,down,up,1740355200000,24.02.2025 00:00,down,0.0003998,0.0003805,0.00039015,up,up,1740787200000,01.03.2025 00:00,0.0003816
WIFUSDT,18/06/2025 08:06:21,up,0.91,0.749,0.8295,up,down,1746835200000,10.05.2025 00:00,up,0.7489,0.6912,0.7200500000000001,up,up,1746748800000,09.05.2025 00:00,up,0.8718,0.8259,0.84885,down,up,1749254400000,07.06.2025 00:00,0.7869
ADAUSDT,18/06/2025 08:06:21,up,0.6165,0.6102,0.6133500000000001,up,up,1744848000000,17.04.2025 00:00,down,0.6222,0.599,0.6106,down,down,1708473600000,21.02.2024 00:00,up,0.6274,0.6165,0.62195,up,up,1744934400000,18.04.2025 00:00,0.6159
FARTCOINUSDT,18/06/2025 08:06:21,up,1.2267,1.0377,1.1322,up,up,1749427200000,09.06.2025 00:00,down,1.144,1.0281,1.08605,down,down,1748908800000,03.06.2025 00:00,up,1.144,1.0734,1.1086999999999998,up,down,1748736000000,01.06.2025 00:00,1.1068
ENAUSDT,18/06/2025 08:06:21,up,0.3406,0.2696,0.30510000000000004,down,up,1746662400000,08.05.2025 00:00,down,0.2858,0.2696,0.2777,down,up,1746403200000,05.05.2025 00:00,up,0.2849,0.2809,0.2829,up,up,1745020800000,19.04.2025 00:00,0.2818
AAVEUSDT,18/06/2025 08:06:21,up,283.25,257.36,270.305,down,up,1749427200000,09.06.2025 00:00,down,267.39,264.88,266.135,up,down,1748390400000,28.05.2025 00:00,down,282.45,276.47,279.46000000000004,up,up,1733702400000,09.12.2024 00:00,266.2
BNBUSDT,18/06/2025 08:06:21,down,654.41,647.92,651.165,up,up,1749859200000,14.06.2025 00:00,up,651.65,650.41,651.03,up,up,1749340800000,08.06.2025 00:00,down,652.8,652.17,652.4849999999999,down,down,1747267200000,15.05.2025 00:00,652.19
KAITOUSDT,18/06/2025 08:06:21,up,1.3574,0.967,1.1622,up,down,1746576000000,07.05.2025 00:00,down,1.361,1.2812,1.3211,down,up,1742947200000,26.03.2025 00:00,down,1.3982,1.3973,1.39775,down,down,1750032000000,16.06.2025 00:00,1.352
LINKUSDT,18/06/2025 08:06:21,down,13.501,12.893,13.197,up,down,1743552000000,02.04.2025 00:00,up,13.093,12.931,13.012,up,down,1745107200000,20.04.2025 00:00,up,13.696,12.595,13.1455,up,up,1731024000000,08.11.2024 00:00,13.103
PNUTUSDT,18/06/2025 08:06:21,up,0.36078,0.22051,0.290645,up,down,1746748800000,09.05.2025 00:00,down,0.2149,0.20798,0.21144000000000002,up,down,1742947200000,26.03.2025 00:00,down,0.23,0.22945,0.229725,down,up,1749859200000,14.06.2025 00:00,0.22228
LTCUSDT,18/06/2025 08:06:21,up,89.5,84.98,87.24000000000001,down,down,1746489600000,06.05.2025 00:00,up,86.24,84.25,85.245,up,up,1745539200000,25.04.2025 00:00,up,87.26,83.76,85.51,up,down,1731715200000,16.11.2024 00:00,85.26
AVAXUSDT,18/06/2025 08:06:21,up,19.111,18.431,18.771,down,up,1744329600000,11.04.2025 00:00,down,18.145,17.87,18.0075,up,down,1743811200000,05.04.2025 00:00,up,19.037,19.002,19.0195,down,up,1744848000000,17.04.2025 00:00,18.773
PEOPLEUSDT,18/06/2025 08:06:21,up,0.01972,0.01613,0.017925,up,up,1746748800000,09.05.2025 00:00,up,0.01826,0.01825,0.018255,down,down,1742947200000,26.03.2025 00:00,up,0.01871,0.01867,0.01869,down,up,1749945600000,15.06.2025 00:00,0.0183
VIRTUALUSDT,18/06/2025 08:06:21,up,1.9484,1.4887,1.71855,down,down,1746662400000,08.05.2025 00:00,down,1.692,1.6529,1.67245,down,up,1746316800000,04.05.2025 00:00,up,1.8262,1.7827,1.80445,down,down,1749168000000,06.06.2025 00:00,1.701
